,,,Summer 2009,Fall 2009,Spring 2010,Summer 2010,Fall 2010,Spring 2011,Summer 2011,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Winter 2017,Spring 2017,Summer 2017,Fall 2017,Winter 2018,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMSC,449,Malware Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1
CMSC,451,Automata Theory & Formal Lang,,1,,,1,1,,1,,1,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,1,,,,1,1,1,,1,,1,,1,,1
CMSC,451H,Automata Thry& Form Lang,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,452,Logic For Comp Sci,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,453,Appld Comb & Graph Thry,,,,,1,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,455,Numerical Computations,1,1,,1,1,,1,1,,1,,,1,1,,1,1,,1,1,,1,1,,,1,1,,,1,1,1,,1,,1,1,1,,1,1,1,,,,,,,,1
CMSC,456,Symbolic Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CMSC,457,Quantum Computation,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,461,Database Mangmt Systems,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,2,1,1,2,,2,,2,,2,,2,2,1,3,,1,1,2,,1,1,2,,2,1,2,,2,1,2
CMSC,462,Introduction to Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,1,,3
CMSC,471,Artificial Intelligence,,1,,,1,,,1,,,1,,,1,1,,1,1,,2,2,,2,,2,,2,,2,,2,3,,3,,5,,3,,4,1,5,,5,,2,,5,,2
CMSC,473,Natural Lang Processing,,,,,1,,,,,,1,,,1,,,,,,,,,,,1,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,475,Neural Networks,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,476,Information Retrieval,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMSC,478,Intro to Machine Learning,,,,,,1,,,,,,1,,,,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,1,,2,,3,,3,,2,,4,,4
CMSC,479,Introduction To Robotics,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,
CMSC,481,Computer Networks,,1,1,,1,1,,1,1,,1,1,,2,1,,2,2,,2,2,,1,,2,,1,,2,,1,2,,1,,1,,2,,2,,4,,4,,2,,3,,2
CMSC,483,Parallel & Distr Process,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMSC,486,Mobile Radio Comm,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,487,Intro Network Security,,,1,,,1,,,,,,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,,1,,,,1,,,,1,,2,,1,,2
CMSC,491,Spec Topics In Comp Sci,,4,3,,5,2,1,,6,,1,3,,1,5,,3,2,,4,7,1,2,,6,2,7,,6,2,8,4,1,7,,6,1,6,,5,,8,,9,,6,,5,,4
CMSC,493,Games Group Project,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMSC,495,Honors Thesis,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,498,Indep Study:Intern/Coop,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,,1,,1,,1,,1,1,,1,,1,,1,,,,1,,1,,1,,1,,1
CMSC,499,Indep Study Computer Sci,,1,3,,3,1,,2,1,,1,2,,1,2,,1,4,,3,2,,1,,5,,4,,8,,4,5,,4,1,4,1,5,,3,1,3,,3,1,6,,8,1,3
CMSC,601,Research Skills For Cs,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,608,Graduate Seminar,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,611,Adv Computer Architectre,,1,,,1,,,1,,,2,2,,,1,,2,,,2,2,,,,2,,2,,1,,2,2,,2,,1,,2,,2,,1,,1,,1,,1,,1
CMSC,621,Adv Operating Systems,,1,,,1,,,1,,,2,,,2,2,,,2,,2,,,2,,2,,2,,1,,1,2,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,626,Princ Computer Security,,1,,,1,,,,2,,,,,1,,,2,2,,4,,,2,,,,1,,,,,2,,2,,,1,1,,1,,2,,1,,1,,2,,1
CMSC,627,Wearable Computing,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,628,Intro Mobile Comput,,,,,,,,,,,,2,,,1,,,2,,,2,,,,2,,,,2,,,1,,,,,,,,1,,,,1,,,,1,,
CMSC,634,Computer Graphics,,1,,,1,,,1,1,,1,,,2,2,,1,1,,2,1,,1,,1,,1,,,,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,635,Adv Comp Graphics,,,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,636,Data Visualization,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,,,2,,1,,1
CMSC,641,Design & Analy Algorthms,,,1,,,1,,,1,,,2,,2,,,2,2,,,1,,2,,,,2,,2,,2,1,,2,,1,,1,,1,,3,,2,,2,,2,,2
CMSC,643,Quantum Computation,,,,,1,,,,,,,,,,2,,,2,,,1,,,,2,,,,1,,,1,,,,,,1,,,,1,,,,1,,,,1
CMSC,644,Information Assurance,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,645,Adv Software Engineering,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,651,Automata Thry/Forml Lang,,1,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,652,Cryptography & Data Sec,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,
CMSC,653,Coding Thry/Applications,,,1,,,,,1,,,,,,,,,2,,,1,,,2,,,,2,,,,2,,,,,,,,,1,,,,1,,,,2,,
CMSC,655,Numerical Computations,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,656,Symbolic/Algebraic Proc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CMSC,661,Prin Of Database Sys,,,1,,,1,,,1,,,2,,,2,,,,,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
CMSC,668,Service Oriented Computing,,,,,,1,,,,,1,,,2,,,,,,1,,,2,,,,2,,,,2,,,2,,,,1,,,,1,,,,1,,,,1
CMSC,671,Prin Artificial Intell,,1,,,2,,,1,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,673,Intro Nat Lang Process,,,,,1,,,,,,2,,,2,,,,,,,,,,,2,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,675,Neural Networks,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,676,Information Retrieval,,,,,1,,,,,,,,,,2,,,2,,,,,,,,,,,1,,,1,,,,2,,,,1,,,,1,,,,1,,
CMSC,677,Agent Arch/Multi-Agt Sys,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,678,Intro Machine Learning,,,,,,1,,1,,,,2,,,2,,2,3,,1,,,2,,2,,2,,2,,2,2,,1,,2,,1,,1,,1,,1,,2,,1,,2
CMSC,679,Intro To Robotics,,,1,,,,,,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,
CMSC,681,Advanced Comp Networks,,,,,1,,,2,,,1,,,1,,,1,,,2,,,,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,
CMSC,682,Networking Technol,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,2,,,,1,,,,1,,,,1,,,,1,,
CMSC,684,Wireless Sensor Networks,,,,,,,,,2,,,,,2,,,,2,,,,,1,,,,,,,,1,,,,,1,,,,2,,,,,,1,,,,
CMSC,687,Intro Network Security,,,1,,,1,,,,,,,,2,,,2,,,1,,,1,,1,,,,1,,,1,,,,2,,,,1,,,,1,,1,,1,,1
CMSC,688,Software Reverse Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
CMSC,691,Spec Topics In Comp Sci,,3,4,,5,1,,,6,,2,6,,2,10,,7,6,,5,13,,3,,9,,5,,6,,7,4,,7,,7,,5,,6,,8,,8,,8,,6,,5
CMSC,696,Internship And Coop,1,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1
CMSC,698,Proj In Computer Science,,1,4,,3,1,2,3,5,1,3,5,,2,6,1,5,5,2,2,5,1,4,,7,1,4,1,5,1,3,7,1,7,,10,,4,,6,,1,,3,,1,,8,,
CMSC,699,Ind Study In Comp Sci,1,1,9,2,6,13,1,10,13,1,10,14,3,9,10,4,7,13,5,13,10,3,7,1,11,1,8,2,13,3,11,11,,6,,13,3,13,,12,2,6,,16,3,16,,19,1,5
CMSC,7700,Master's Special Study,,1,,,,2,,2,,,,1,,,,,2,,,1,,,1,,1,,2,,2,,,1,,1,,2,,1,,1,,1,,1,,1,,,,
CMSC,791,Adv Graduate Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,
CMSC,799,Master's Thesis Research,1,1,13,2,15,18,3,16,13,4,15,13,1,15,11,3,12,11,2,11,12,2,12,,14,3,15,,16,,11,15,,13,,13,1,14,,12,1,9,,10,1,9,,10,,1
CMSC,871,Adv Top Artifcial Intell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
